t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787845757218,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757363,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757443,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757526,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757609,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757693,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757777,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757860,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845757943,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758026,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758110,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758192,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758276,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758360,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758442,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758526,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758610,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758693,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758775,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758860,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845758944,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759026,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759110,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759193,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759276,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759359,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759443,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759527,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759610,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759691,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759776,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759860,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845759943,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760026,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760092,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760143,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760225,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760310,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760392,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760477,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760559,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760642,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760727,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760810,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760892,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845760964,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761047,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761129,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761214,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761298,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761384,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761463,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761547,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761630,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761714,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761797,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761880,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845761963,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845762048,0.0000,0.0000,0.0000,0.0000,0.0000,default
1787845762128,0.0000,0.0000,0.0000,0.0000,0.0000,default
